sample_id,style_condition,ccer_score,gold_entity_count,error_type_profile
scenario_010_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_010_telegraphic_icu,telegraphic_icu,1.2,15,"{""omission"": 9}"
scenario_011_clinical_charting,clinical_charting,1.4286,14,"{""omission"": 7, ""numeric_error"": 2}"
scenario_011_formal_template,formal_template,1.5,14,"{""omission"": 9, ""numeric_error"": 1}"
scenario_011_telegraphic_icu,telegraphic_icu,1.7857,14,"{""omission"": 10, ""numeric_error"": 1, ""substitution"": 1}"
scenario_012_clinical_charting,clinical_charting,1.2,15,"{""frequency_error"": 1, ""omission"": 5, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_012_formal_template,formal_template,1.3333,15,"{""omission"": 9, ""frequency_error"": 1}"
scenario_012_telegraphic_icu,telegraphic_icu,0.9333,15,"{""omission"": 7}"
scenario_013_clinical_charting,clinical_charting,1.25,12,"{""omission"": 6, ""hallucination"": 1}"
scenario_013_formal_template,formal_template,1.3333,12,"{""omission"": 8}"
scenario_013_telegraphic_icu,telegraphic_icu,1.0,12,"{""omission"": 6}"
scenario_014_clinical_charting,clinical_charting,1.7143,14,"{""omission"": 6, ""numeric_error"": 3, ""medication_identity_error"": 1}"
scenario_014_formal_template,formal_template,1.4286,14,"{""omission"": 10}"
scenario_014_telegraphic_icu,telegraphic_icu,1.2857,14,"{""omission"": 6, ""numeric_error"": 2}"
scenario_015_clinical_charting,clinical_charting,1.2,15,"{""omission"": 6, ""numeric_error"": 2}"
scenario_015_formal_template,formal_template,1.1333,15,"{""omission"": 7, ""numeric_error"": 1}"
scenario_015_telegraphic_icu,telegraphic_icu,1.7333,15,"{""hallucination"": 1, ""omission"": 3, ""numeric_error"": 5, ""substitution"": 1}"
scenario_016_clinical_charting,clinical_charting,0.875,16,"{""omission"": 7}"
scenario_016_formal_template,formal_template,1.25,16,"{""omission"": 10}"
scenario_016_telegraphic_icu,telegraphic_icu,1.1875,16,"{""omission"": 5, ""numeric_error"": 2, ""hallucination"": 1}"
scenario_017_clinical_charting,clinical_charting,1.8571,14,"{""hallucination"": 3, ""omission"": 4, ""numeric_error"": 3}"
scenario_017_formal_template,formal_template,1.7143,14,"{""omission"": 9, ""hallucination"": 2}"
scenario_017_telegraphic_icu,telegraphic_icu,2.2143,14,"{""hallucination"": 2, ""numeric_error"": 1, ""omission"": 11}"
scenario_018_clinical_charting,clinical_charting,1.1333,15,"{""omission"": 4, ""numeric_error"": 3}"
scenario_018_formal_template,formal_template,1.2,15,"{""omission"": 9}"
scenario_018_telegraphic_icu,telegraphic_icu,1.0667,15,"{""omission"": 5, ""numeric_error"": 2}"
scenario_019_clinical_charting,clinical_charting,1.9333,15,"{""hallucination"": 3, ""omission"": 4, ""numeric_error"": 4}"
scenario_019_formal_template,formal_template,1.4,15,"{""omission"": 9, ""hallucination"": 1}"
scenario_019_telegraphic_icu,telegraphic_icu,1.4,15,"{""hallucination"": 2, ""numeric_error"": 5}"
scenario_020_clinical_charting,clinical_charting,1.3333,15,"{""omission"": 5, ""numeric_error"": 1, ""hallucination"": 1, ""substitution"": 2}"
scenario_020_formal_template,formal_template,1.5333,15,"{""omission"": 10, ""numeric_error"": 1}"
scenario_020_telegraphic_icu,telegraphic_icu,1.2,15,"{""hallucination"": 2, ""omission"": 5, ""substitution"": 1}"
scenario_021_clinical_charting,clinical_charting,2.1333,15,"{""hallucination"": 3, ""omission"": 7, ""numeric_error"": 2, ""severity_shift"": 1}"
scenario_021_formal_template,formal_template,1.3333,15,"{""omission"": 10}"
scenario_021_telegraphic_icu,telegraphic_icu,2.4667,15,"{""omission"": 11, ""hallucination"": 4, ""numeric_error"": 1}"
scenario_022_clinical_charting,clinical_charting,0.9333,15,"{""omission"": 4, ""numeric_error"": 2}"
scenario_022_formal_template,formal_template,1.4667,15,"{""omission"": 11}"
scenario_022_telegraphic_icu,telegraphic_icu,1.0667,15,"{""omission"": 8}"
scenario_023_clinical_charting,clinical_charting,1.6364,11,"{""omission"": 3, ""hallucination"": 1, ""numeric_error"": 3}"
scenario_023_formal_template,formal_template,1.4545,11,"{""omission"": 8}"
scenario_023_telegraphic_icu,telegraphic_icu,1.3636,11,"{""omission"": 6, ""numeric_error"": 1}"
scenario_024_clinical_charting,clinical_charting,1.5,12,"{""omission"": 6, ""hallucination"": 1, ""numeric_error"": 1}"
scenario_024_formal_template,formal_template,1.25,12,"{""omission"": 6, ""numeric_error"": 1}"
scenario_024_telegraphic_icu,telegraphic_icu,1.3333,12,"{""omission"": 5, ""numeric_error"": 2}"
scenario_025_clinical_charting,clinical_charting,0.8571,14,"{""frequency_error"": 1, ""omission"": 5}"
scenario_025_formal_template,formal_template,1.2857,14,"{""omission"": 9}"
scenario_025_telegraphic_icu,telegraphic_icu,1.3571,14,"{""omission"": 5, ""numeric_error"": 3}"
scenario_026_clinical_charting,clinical_charting,1.3846,13,"{""omission"": 9}"
scenario_026_formal_template,formal_template,1.8462,13,"{""omission"": 9, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_026_telegraphic_icu,telegraphic_icu,1.4615,13,"{""omission"": 8, ""numeric_error"": 1}"
scenario_027_clinical_charting,clinical_charting,1.5714,14,"{""hallucination"": 2, ""omission"": 7, ""unit_error"": 1}"
scenario_027_formal_template,formal_template,1.5,14,"{""omission"": 9, ""numeric_error"": 1}"
scenario_027_telegraphic_icu,telegraphic_icu,1.5,14,"{""hallucination"": 2, ""omission"": 6, ""numeric_error"": 1}"
scenario_028_clinical_charting,clinical_charting,1.6,15,"{""omission"": 3, ""hallucination"": 2, ""numeric_error"": 4}"
scenario_028_formal_template,formal_template,1.1333,15,"{""omission"": 7, ""numeric_error"": 1}"
scenario_028_telegraphic_icu,telegraphic_icu,1.1333,15,"{""hallucination"": 1, ""omission"": 6, ""substitution"": 1}"
scenario_029_clinical_charting,clinical_charting,2.0,16,"{""omission"": 4, ""hallucination"": 5, ""numeric_error"": 3}"
scenario_029_formal_template,formal_template,1.625,16,"{""omission"": 9, ""hallucination"": 2, ""unit_error"": 1}"
scenario_029_telegraphic_icu,telegraphic_icu,1.6875,16,"{""hallucination"": 3, ""omission"": 3, ""numeric_error"": 4}"
scenario_030_clinical_charting,clinical_charting,1.0769,13,"{""omission"": 7}"
scenario_030_formal_template,formal_template,1.3846,13,"{""omission"": 9}"
scenario_030_telegraphic_icu,telegraphic_icu,1.0769,13,"{""omission"": 7}"
scenario_031_clinical_charting,clinical_charting,1.1429,14,"{""hallucination"": 1, ""omission"": 5, ""numeric_error"": 1}"
scenario_031_formal_template,formal_template,1.2857,14,"{""omission"": 8, ""substitution"": 1}"
scenario_031_telegraphic_icu,telegraphic_icu,1.7857,14,"{""hallucination"": 3, ""numeric_error"": 4, ""omission"": 2}"
scenario_032_clinical_charting,clinical_charting,0.8462,13,"{""omission"": 4, ""numeric_error"": 1}"
scenario_032_formal_template,formal_template,1.3846,13,"{""omission"": 9}"
scenario_032_telegraphic_icu,telegraphic_icu,1.0769,13,"{""omission"": 7}"
scenario_033_clinical_charting,clinical_charting,1.6,15,"{""hallucination"": 3, ""numeric_error"": 3, ""omission"": 2, ""substitution"": 1}"
scenario_033_formal_template,formal_template,1.3333,15,"{""omission"": 10}"
scenario_033_telegraphic_icu,telegraphic_icu,1.6,15,"{""hallucination"": 3, ""omission"": 6, ""numeric_error"": 1}"
scenario_034_clinical_charting,clinical_charting,1.7143,14,"{""omission"": 6, ""numeric_error"": 3, ""hallucination"": 1}"
scenario_034_formal_template,formal_template,1.5,14,"{""omission"": 9, ""hallucination"": 1}"
scenario_034_telegraphic_icu,telegraphic_icu,1.4286,14,"{""omission"": 7, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_035_clinical_charting,clinical_charting,1.4,15,"{""hallucination"": 2, ""numeric_error"": 1, ""omission"": 6}"
scenario_035_formal_template,formal_template,1.2,15,"{""omission"": 9}"
scenario_035_telegraphic_icu,telegraphic_icu,1.4667,15,"{""omission"": 7, ""numeric_error"": 2, ""substitution"": 1}"
scenario_036_clinical_charting,clinical_charting,1.1333,15,"{""omission"": 4, ""hallucination"": 1, ""numeric_error"": 2}"
scenario_036_formal_template,formal_template,1.5333,15,"{""omission"": 10, ""numeric_error"": 1}"
scenario_036_telegraphic_icu,telegraphic_icu,0.9333,15,"{""hallucination"": 1, ""omission"": 4, ""numeric_error"": 1}"
scenario_037_clinical_charting,clinical_charting,2.4167,12,"{""route_error"": 1, ""omission"": 6, ""hallucination"": 4, ""numeric_error"": 1}"
scenario_037_formal_template,formal_template,1.6667,12,"{""route_error"": 1, ""omission"": 6, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_037_telegraphic_icu,telegraphic_icu,1.5,12,"{""route_error"": 1, ""omission"": 5, ""hallucination"": 2}"
scenario_038_clinical_charting,clinical_charting,1.2308,13,"{""omission"": 8}"
scenario_038_formal_template,formal_template,1.5385,13,"{""omission"": 10}"
scenario_038_telegraphic_icu,telegraphic_icu,2.1538,13,"{""omission"": 11, ""numeric_error"": 1, ""hallucination"": 1}"
scenario_039_clinical_charting,clinical_charting,1.8571,14,"{""omission"": 13}"
scenario_039_formal_template,formal_template,1.4286,14,"{""omission"": 10}"
scenario_039_telegraphic_icu,telegraphic_icu,1.4286,14,"{""omission"": 10}"
scenario_040_clinical_charting,clinical_charting,0.6154,13,"{""omission"": 4}"
scenario_040_formal_template,formal_template,1.4615,13,"{""omission"": 8, ""numeric_error"": 1}"
scenario_040_telegraphic_icu,telegraphic_icu,1.2308,13,"{""omission"": 8}"
scenario_041_clinical_charting,clinical_charting,1.1429,14,"{""omission"": 5, ""numeric_error"": 2}"
scenario_041_formal_template,formal_template,1.7857,14,"{""omission"": 10, ""hallucination"": 1, ""substitution"": 1}"
scenario_041_telegraphic_icu,telegraphic_icu,1.2857,14,"{""omission"": 6, ""hallucination"": 1, ""numeric_error"": 1}"
scenario_042_clinical_charting,clinical_charting,1.7857,14,"{""hallucination"": 3, ""numeric_error"": 4, ""omission"": 2}"
scenario_042_formal_template,formal_template,2.0,14,"{""omission"": 8, ""hallucination"": 4}"
scenario_042_telegraphic_icu,telegraphic_icu,2.0,14,"{""hallucination"": 5, ""numeric_error"": 3, ""omission"": 2}"
scenario_043_clinical_charting,clinical_charting,1.1538,13,"{""omission"": 3, ""numeric_error"": 3}"
scenario_043_formal_template,formal_template,1.4615,13,"{""omission"": 8, ""numeric_error"": 1}"
scenario_043_telegraphic_icu,telegraphic_icu,1.6154,13,"{""omission"": 6, ""numeric_error"": 3}"
scenario_044_clinical_charting,clinical_charting,1.6429,14,"{""omission"": 7, ""hallucination"": 2, ""numeric_error"": 1}"
scenario_044_formal_template,formal_template,1.6429,14,"{""omission"": 10, ""hallucination"": 1}"
scenario_044_telegraphic_icu,telegraphic_icu,2.2143,14,"{""omission"": 11, ""numeric_error"": 3}"
scenario_045_clinical_charting,clinical_charting,0.875,16,"{""omission"": 4, ""numeric_error"": 2}"
scenario_045_formal_template,formal_template,1.0,16,"{""omission"": 8}"
scenario_045_telegraphic_icu,telegraphic_icu,0.875,16,"{""omission"": 4, ""numeric_error"": 2}"
scenario_046_clinical_charting,clinical_charting,0.75,12,"{""omission"": 3, ""numeric_error"": 1}"
scenario_046_formal_template,formal_template,1.5833,12,"{""omission"": 8, ""numeric_error"": 1}"
scenario_046_telegraphic_icu,telegraphic_icu,1.25,12,"{""omission"": 6, ""numeric_error"": 1}"
scenario_047_clinical_charting,clinical_charting,1.7333,15,"{""omission"": 4, ""numeric_error"": 5, ""severity_shift"": 1}"
scenario_047_formal_template,formal_template,1.4,15,"{""omission"": 9, ""numeric_error"": 1}"
scenario_047_telegraphic_icu,telegraphic_icu,1.2667,15,"{""omission"": 5, ""numeric_error"": 3}"
scenario_048_clinical_charting,clinical_charting,1.4375,16,"{""omission"": 6, ""unit_error"": 1, ""numeric_error"": 1, ""hallucination"": 2}"
scenario_048_formal_template,formal_template,1.5625,16,"{""omission"": 8, ""numeric_error"": 1, ""hallucination"": 2}"
scenario_048_telegraphic_icu,telegraphic_icu,2.0625,16,"{""omission"": 11, ""severity_shift"": 1, ""hallucination"": 2, ""substitution"": 1}"
scenario_049_clinical_charting,clinical_charting,1.2143,14,"{""omission"": 4, ""hallucination"": 2, ""numeric_error"": 1}"
scenario_049_formal_template,formal_template,1.0,14,"{""omission"": 7}"
scenario_049_telegraphic_icu,telegraphic_icu,1.3571,14,"{""omission"": 8, ""hallucination"": 1}"
scenario_050_clinical_charting,clinical_charting,1.8667,15,"{""omission"": 8, ""hallucination"": 2, ""numeric_error"": 2}"
scenario_050_formal_template,formal_template,1.6,15,"{""omission"": 9, ""hallucination"": 2}"
scenario_050_telegraphic_icu,telegraphic_icu,1.4,15,"{""omission"": 6, ""numeric_error"": 3}"
